shard,i,relwidth_M,relwidth_a_star,relwidth_eps_f,relwidth_eps_Q,relwidth_log10_A_bounce,relwidth_log10_dt_bounce_s,relwidth_D_L,relwidth_i
0,20,0.01630482835683856,0.19121300903332752,0.19258834216016252,0.22278643936402684,2.2113652800182284e-05,1.8141701803019833e-08,0.1672620974166102,0.25494681953193904
0,21,4.080166959259564e-09,4.841306485584385e-12,3.905213403294141e-09,1.8861105756031164e-09,2.933037138174177e-06,5.8914737105702505e-12,0.0005558337496083476,0.005046003037520463
0,22,0.03199578283739647,0.07819047054464506,0.22797853287529554,0.1554130442853372,0.0006877740741764689,0.0004302730244331705,0.11612960507147502,0.16528842598401902
0,23,0.03731670057122539,0.18614506302420825,0.24963450711463078,0.17543311299207118,4.8602662257081754e-05,1.1115509913233504e-05,0.14340751800432058,0.220323360712468
0,24,1.2896347620089237e-05,2.4637285045546737e-12,1.3913606332483954e-05,8.859057980844432e-10,2.060849271282076e-06,2.518927718391391e-12,0.00030958128477400246,0.00411312794385092
25,0,1.5142571269027582e-09,1.9532541739467307e-11,1.5362905058613243e-09,4.525923938598546e-09,4.514236804688604e-06,3.202069413502374e-11,0.0004617026339333001,0.00495109737327779
25,1,0.0001139272420523203,2.074522386651704e-12,0.00012287342582944445,7.809878211739058e-10,1.9587348690409364e-06,2.1115537121097924e-12,0.00033345232470501605,0.004166733618013411
25,2,0.047034123421022735,0.23388183550737646,0.25027859078001585,0.22260404363609895,0.13389522209729826,0.30823219676674396,0.1597989593788973,0.26019264650431617
25,3,0.04645995062166024,0.1905140459683547,0.21441224455700325,0.14196644393062785,7.254890538759008e-05,5.041386444594311e-06,0.14652959814503064,0.22179752549117435
25,4,8.655812428524238e-05,4.873513945635622e-12,9.335550648552107e-05,1.8056541692739915e-09,2.8477492841909885e-06,5.579628512601413e-12,0.0003158764653412042,0.0038676852090103377
25,5,0.026159001411461887,0.086827911210298,0.25132967931869005,0.2504500487451176,0.1272282023937438,0.26750510970305114,0.1699800806625828,0.2689399088724213
25,6,8.363135513486371e-05,2.4116141760324806e-12,9.021030450478137e-05,8.815137854508365e-10,1.919125354953637e-06,2.5881825647411512e-12,0.00033933774851724715,0.003966445242225103
25,7,5.037414503610287e-07,2.5997253519132e-12,5.887618347253417e-07,9.484549474945813e-10,2.081121786772629e-06,2.5844326960794584e-12,0.0003248292874824921,0.004188856222155024
25,8,0.06437640296606434,0.2180847010321935,0.266188761237412,0.14642069180964734,0.004687862466683622,0.0001422796695284345,0.13740304068728634,0.21542748301247866
25,9,0.06927423282153576,0.1699649554199095,0.1938056947891915,0.2164559304818042,4.867844223563333e-05,0.00022646386192155528,0.08015724075675881,0.11168837857417084
25,10,1.00876222407843e-09,4.254413920129732e-12,1.1565343318862772e-09,1.286433268026302e-09,2.2502711806485485e-06,4.804313247432963e-12,0.0003216760776807806,0.003907305978773893
25,11,0.08573581552234254,0.19593544903665708,0.23522701669014884,0.1618730447880225,3.944594145208907e-05,2.670388835087132e-07,0.12674449648263827,0.16594211480955032
25,12,0.01585104999463185,0.19330302762676935,0.21980668858273267,0.22809859953156006,1.4018843145773545e-05,6.43593592129649e-08,0.12212963718205108,0.17205158143787136
25,13,0.056142160656181585,0.1806997136307198,0.17722633023291848,0.1343984471329123,1.822183359587105e-05,2.212372266668105e-06,0.13773580697362872,0.23768748960643313
25,14,0.10652519343382329,0.1321619443000897,0.23850891704008015,0.14122856715826562,3.754728534539692e-05,7.424784141562735e-07,0.11469175897511902,0.15289449902013727
25,15,3.473727771105109e-08,7.44585160951531e-11,3.6743302926789785e-08,2.3463053107841783e-08,1.0818796816065602e-05,8.424392393397556e-11,0.0004259621837506468,0.004274599412390044
25,16,0.05944963830911909,0.16158686743639475,0.24868574470365054,0.2042897883804834,0.009556448351781923,0.00025535771341694157,0.1578523398631105,0.26119027943485545
25,17,0.056569176775575124,0.23557097123420728,0.24077639488724362,0.16943929720132778,0.05253700897476342,0.10360789154287756,0.11721424456242778,0.27925542291290373
25,18,5.737917086733479e-05,5.228113579556019e-12,6.188436644369297e-05,1.7384324269824427e-09,2.844773402264627e-06,5.356917964602512e-12,0.00034350952020895993,0.004057517695793179
25,19,1.1593141406966528e-09,5.88260765460154e-12,1.2665869857830364e-09,1.7064338694861835e-09,2.747821056710879e-06,6.6190981647939775e-12,0.00029275148350123124,0.003784416819483129
25,20,0.03514012954783338,0.13163401925576124,0.17873242080579677,0.15702524141413765,0.07724211720501375,0.18861045377284735,0.0362553614349788,0.12335517482872115
25,21,0.0896616442475154,0.17212068495590493,0.23783891547317593,0.06265290025093996,0.0010110958087642674,0.0024798909037638773,0.08552043786956808,0.2914180748200683
25,22,1.2780833183099876e-05,2.1522447322126858e-12,1.3778453019475837e-05,7.188053118977719e-10,1.9362538095822365e-06,2.310227455539742e-12,0.00033878731455892866,0.004056930921652933
50,0,2.8733263859220824e-10,1.738842269532777e-08,2.731895208707459e-10,2.6311782741776272e-09,3.4764402877150127e-06,5.169004218844087e-12,0.0002904886638450202,0.003738089691392594
50,1,3.893774982955849e-09,2.9035771204979584e-12,3.4748942962979556e-09,1.1790658462811683e-09,2.3491144534956057e-06,3.5043845329291456e-12,0.0003637839075993431,0.004359586180150877
