idx,truth,edge_distance,linear_w90,circular_w90,width_ratio,resultant_R,n_in_bottom_decile,n_in_top_decile,rank,hit90
60,2.516928107660161,0.6246645459296323,2.487872169778557,2.3229639829274964,1.07099041916407,0.34896082575837206,5,5,91,1
61,1.7490500987909288,1.3925425547988644,2.754017105744899,2.1737334795224514,1.2669525181854082,0.2886589422977138,7,18,40,1
62,1.8853141003909395,1.2562785531988536,2.7349843297064815,2.012533387621384,1.3589758791226632,0.2738545444345171,5,21,53,1
63,3.0427456419553933,0.0988470116343998,1.6029533610944064,1.5990537749762255,1.0024386835384813,0.4917768100863083,3,20,95,0
64,0.18049320822906745,0.18049320822906745,3.044641030653286,2.1684297348579467,1.404076406862563,0.4495538354456287,24,26,18,1
65,0.5233445647402412,0.5233445647402412,2.5066489081498426,1.6803000775583143,1.4917864622087718,0.6304348237327395,10,5,25,1
66,1.1071146289738705,1.1071146289738705,2.877124744689223,2.40237997037916,1.1976143574969682,0.2236049109354146,8,12,24,1
67,1.4175572027117616,1.4175572027117616,0.14197238633272913,0.1316384491371254,1.0785024228357403,0.9954046329268208,0,0,92,1
69,0.6155440036753832,0.6155440036753832,2.681778361896773,2.487554504104305,1.0780782320435638,0.2446579306889888,9,10,15,1
70,0.0747482269808443,0.0747482269808443,1.7982360532257733,1.0347111407830731,1.7379111738034074,0.8044360631519807,41,5,5,0
71,0.6970335983072329,0.6970335983072329,3.021934912535055,1.4082044809905119,2.1459489394675604,0.6409082607248837,28,25,53,1
72,1.712915531568587,1.4286771220212062,0.04893460926736748,0.04874958894595416,1.003795320646056,0.9995122742777507,0,0,48,1
73,0.6122088544909509,0.6122088544909509,0.05399198813345263,0.05120969676425202,1.0543313384964788,0.9995235278317405,0,0,81,1
74,2.6287349442474084,0.5128577093423847,0.9346554934417808,0.9248052894476857,1.0106511112192902,0.8479927149789362,0,2,89,1
75,1.4044642423770186,1.4044642423770186,0.20312417182079634,0.20078691472809873,1.0116404851175818,0.9911949481655095,0,0,16,1
76,1.6641867346503574,1.4774059189394357,1.0623952400876926,0.9865632015471202,1.0768648561203715,0.8109248993980722,0,2,18,1
77,0.8266397810483253,0.8266397810483253,0.13099338859921217,0.13001279410240718,1.0075422923072679,0.9966334408468692,0,0,95,0
78,1.4825157475700526,1.4825157475700526,0.10999163977962967,0.10601594724473618,1.0375008914999897,0.997660642643042,0,0,70,1
79,1.3203777755113666,1.3203777755113666,2.327235925111218,1.902244154400613,1.22341599511684,0.5764901439194199,2,8,13,1
80,0.18168415995286533,0.18168415995286533,0.23224870345093784,0.11721443742479187,1.9814001462060102,0.9921869827199212,93,0,14,1
81,2.0287143364978713,1.1128783170919219,2.9783819584197464,2.307219697311674,1.2908965547971427,0.32157557933555986,14,21,49,1
82,2.846549641574246,0.29504301201554695,0.045345763999733446,0.04462172813609566,1.016226082984269,0.999583003582386,0,98,28,1
83,2.3383382298471513,0.8032544237426418,2.477940257640204,2.2644644435811343,1.0942720980513472,0.21744427289631008,10,5,90,1
84,0.5039839448204044,0.5039839448204044,0.43809355297429853,0.4316012660334112,1.0150423259888788,0.9563129027266122,0,0,3,0
85,2.8624581503416975,0.27913450324809563,0.9693152381885939,0.9386100264795534,1.0327134921243135,0.8323474119271699,0,15,86,1
86,1.3305758186714902,1.3305758186714902,2.258622304927379,2.1239715058651902,1.0633957652870392,0.4564563628920978,8,2,36,1
87,1.6207821152536412,1.5208105383361519,0.0162688477221431,0.013664120201429153,1.1906253371835467,0.9999378893753038,0,0,9,1
89,2.7697810261775153,0.3718116274122778,3.052188917430731,2.328158172857837,1.3109886402967799,0.3150196341786956,13,23,72,1
90,0.28559466374093606,0.28559466374093606,0.5803496531604213,0.49497304321685553,1.1724873932299398,0.9364239902825561,45,0,40,1
91,2.5449500405510004,0.5966426130387927,2.805949152246313,2.493586006189954,1.1252666422096387,0.155775214473686,10,9,81,1
92,1.5153731972569968,1.5153731972569968,2.26116593878303,1.7542198434377596,1.2889866382720903,0.5808789747872939,4,5,82,1
93,3.0702985245419856,0.07129412904780752,2.5514832894031643,2.3009228804988604,1.1088956135939594,0.28681659386329494,5,7,99,0
94,2.461992277414029,0.6796003761757641,0.97880977375406,0.9576168158380607,1.0221309375164347,0.8060466054280032,0,2,65,1
95,1.9236585687145578,1.2179340848752354,0.132438638164315,0.1210911838702986,1.0937099954871259,0.9968870925325279,0,0,97,0
96,1.329937983849992,1.329937983849992,0.12786018360350604,0.12157629138731707,1.051686822689547,0.9971541759805963,0,0,53,1
97,0.8760626553711575,0.8760626553711575,0.3825760313023051,0.3729027192459383,1.0259405779500015,0.9691876546373858,0,0,100,0
98,0.4592320212352675,0.4592320212352675,2.7674323196386776,2.230243898905763,1.2408653246384749,0.3746321335723986,9,8,10,1
99,0.7510285544535439,0.7510285544535439,2.625708566741518,1.4718372148148555,1.7839666916370298,0.5986162564783707,12,5,37,1

# simulation: perfectly calibrated circular posterior, scored linearly
# sd,wrapped_fraction,cov68,cov90,rank_mean,rank_chi2_p
# 0.05,0.077525,0.6681,0.882125,49.839,0.9445523397881054
# 0.15,0.2382,0.6692,0.884425,49.9128,0.4386550997895759
# 0.4,0.62485,0.663625,0.883275,50.12785,0.746737124437273
# 0.8,0.997175,0.665025,0.880725,49.95415,0.8765180709731306
